year,quarter,rank,big_area,Location type,small_area,registeredUsers
2018,1,1,India,state,maharashtra,6106994
2018,1,2,India,state,uttar pradesh,4694250
2018,1,3,India,state,karnataka,3717763
2018,1,4,India,state,andhra pradesh,3336450
2018,1,5,India,state,telangana,3315560
2018,1,6,India,state,rajasthan,3158202
2018,1,7,India,state,gujarat,2690048
2018,1,8,India,state,west bengal,2604789
2018,1,9,India,state,madhya pradesh,2553603
2018,1,10,India,state,bihar,2133804
2018,1,1,India,districts,bengaluru urban,1922368
2018,1,2,India,districts,pune,1211643
2018,1,3,India,districts,jaipur,900773
2018,1,4,India,districts,mumbai suburban,719300
2018,1,5,India,districts,hyderabad,655175
2018,1,6,India,districts,rangareddy,635175
2018,1,7,India,districts,thane,631864
2018,1,8,India,districts,ahmadabad,572811
2018,1,9,India,districts,medchal malkajgiri,549429
2018,1,10,India,districts,visakhapatnam,497187
2018,1,1,India,pincodes,201301,114625
2018,1,2,India,pincodes,500072,105012
2018,1,3,India,pincodes,560068,98487
2018,1,4,India,pincodes,110059,95496
2018,1,5,India,pincodes,110092,83600
2018,1,6,India,pincodes,122001,82656
2018,1,7,India,pincodes,560037,75304
2018,1,8,India,pincodes,395006,72275
2018,1,9,India,pincodes,800001,71092
2018,1,10,India,pincodes,302012,68098
2018,2,1,India,state,maharashtra,8222371
2018,2,2,India,state,uttar pradesh,6442554
2018,2,3,India,state,karnataka,5030665
2018,2,4,India,state,andhra pradesh,4402540
2018,2,5,India,state,telangana,4260115
2018,2,6,India,state,rajasthan,4212964
2018,2,7,India,state,west bengal,3833795
2018,2,8,India,state,gujarat,3565825
2018,2,9,India,state,madhya pradesh,3441662
2018,2,10,India,state,bihar,3005872
2018,2,1,India,districts,bengaluru urban,2553312
2018,2,2,India,districts,pune,1592293
2018,2,3,India,districts,jaipur,1182983
2018,2,4,India,districts,mumbai suburban,957633
2018,2,5,India,districts,thane,861292
2018,2,6,India,districts,hyderabad,842483
2018,2,7,India,districts,rangareddy,804959
2018,2,8,India,districts,ahmadabad,751746
2018,2,9,India,districts,medchal malkajgiri,696211
2018,2,10,India,districts,surat,652372
2018,2,1,India,pincodes,201301,151073
2018,2,2,India,pincodes,500072,129543
2018,2,3,India,pincodes,560068,128921
2018,2,4,India,pincodes,110059,124901
2018,2,5,India,pincodes,110092,108175
2018,2,6,India,pincodes,122001,107275
2018,2,7,India,pincodes,800001,94711
2018,2,8,India,pincodes,395006,94500
2018,2,9,India,pincodes,560037,93771
2018,2,10,India,pincodes,302012,89071
2018,3,1,India,state,maharashtra,10435033
2018,3,2,India,state,uttar pradesh,8096483
2018,3,3,India,state,karnataka,6372649
2018,3,4,India,state,andhra pradesh,5427617
2018,3,5,India,state,rajasthan,5175453
2018,3,6,India,state,telangana,5138501
2018,3,7,India,state,west bengal,4851740
2018,3,8,India,state,gujarat,4433183
2018,3,9,India,state,madhya pradesh,4309309
2018,3,10,India,state,tamil nadu,3900177
2018,3,1,India,districts,bengaluru urban,3167597
2018,3,2,India,districts,pune,1974138
2018,3,3,India,districts,jaipur,1438305
2018,3,4,India,districts,mumbai suburban,1218632
2018,3,5,India,districts,thane,1104206
2018,3,6,India,districts,hyderabad,1024241
2018,3,7,India,districts,rangareddy,963186
2018,3,8,India,districts,ahmadabad,919252
2018,3,9,India,districts,medchal malkajgiri,828425
2018,3,10,India,districts,surat,808005
2018,3,1,India,pincodes,201301,188664
2018,3,2,India,pincodes,110059,156028
2018,3,3,India,pincodes,500072,152034
2018,3,4,India,pincodes,560068,151862
2018,3,5,India,pincodes,110092,136676
2018,3,6,India,pincodes,122001,130847
2018,3,7,India,pincodes,395006,113391
2018,3,8,India,pincodes,302012,107088
2018,3,9,India,pincodes,560037,106572
2018,3,10,India,pincodes,800001,106255
2018,4,1,India,state,maharashtra,13381602
2018,4,2,India,state,uttar pradesh,10341964
2018,4,3,India,state,karnataka,8315802
2018,4,4,India,state,andhra pradesh,6857409
2018,4,5,India,state,telangana,6529679
2018,4,6,India,state,rajasthan,6358738
2018,4,7,India,state,west bengal,6279278
2018,4,8,India,state,gujarat,5579040
2018,4,9,India,state,madhya pradesh,5365442
2018,4,10,India,state,tamil nadu,5199878
2018,4,1,India,districts,bengaluru urban,4126734
2018,4,2,India,districts,pune,2498852
2018,4,3,India,districts,jaipur,1733893
2018,4,4,India,districts,mumbai suburban,1578487
2018,4,5,India,districts,thane,1473811
2018,4,6,India,districts,hyderabad,1336872
2018,4,7,India,districts,rangareddy,1217664
2018,4,8,India,districts,ahmadabad,1212636
2018,4,9,India,districts,medchal malkajgiri,1056739
2018,4,10,India,districts,surat,998807
2018,4,1,India,pincodes,201301,250205
2018,4,2,India,pincodes,110059,206537
2018,4,3,India,pincodes,560068,201605
2018,4,4,India,pincodes,110092,177133
2018,4,5,India,pincodes,500072,175163
2018,4,6,India,pincodes,122001,163556
2018,4,7,India,pincodes,560037,137280
2018,4,8,India,pincodes,800001,134254
2018,4,9,India,pincodes,110086,133412
2018,4,10,India,pincodes,110085,132600
2019,1,1,India,state,maharashtra,16284451
2019,1,2,India,state,uttar pradesh,12458661
2019,1,3,India,state,karnataka,10266174
2019,1,4,India,state,andhra pradesh,8283019
2019,1,5,India,state,telangana,7963425
2019,1,6,India,state,rajasthan,7712204
2019,1,7,India,state,west bengal,7449425
2019,1,8,India,state,gujarat,6652536
2019,1,9,India,state,madhya pradesh,6414403
2019,1,10,India,state,tamil nadu,6296303
2019,1,1,India,districts,bengaluru urban,5003207
2019,1,2,India,districts,pune,3038402
2019,1,3,India,districts,jaipur,2060175
2019,1,4,India,districts,mumbai suburban,1901210
2019,1,5,India,districts,thane,1834051
2019,1,6,India,districts,hyderabad,1638436
2019,1,7,India,districts,rangareddy,1470874
2019,1,8,India,districts,ahmadabad,1450100
2019,1,9,India,districts,medchal malkajgiri,1279531
2019,1,10,India,districts,surat,1180819
2019,1,1,India,pincodes,201301,301260
2019,1,2,India,pincodes,110059,246566
2019,1,3,India,pincodes,560068,237280
2019,1,4,India,pincodes,500072,221180
2019,1,5,India,pincodes,110092,206805
2019,1,6,India,pincodes,122001,194366
2019,1,7,India,pincodes,110086,158267
2019,1,8,India,pincodes,560078,157977
2019,1,9,India,pincodes,395006,157558
2019,1,10,India,pincodes,560076,157367
2019,2,1,India,state,maharashtra,18776975
2019,2,2,India,state,uttar pradesh,14316349
2019,2,3,India,state,karnataka,11968087
2019,2,4,India,state,andhra pradesh,9389003
2019,2,5,India,state,telangana,9046007
2019,2,6,India,state,rajasthan,8783935
2019,2,7,India,state,west bengal,8612795
2019,2,8,India,state,gujarat,7574645
2019,2,9,India,state,tamil nadu,7429609
2019,2,10,India,state,madhya pradesh,7301172
2019,2,1,India,districts,bengaluru urban,5694165
2019,2,2,India,districts,pune,3514081
2019,2,3,India,districts,jaipur,2290462
2019,2,4,India,districts,mumbai suburban,2151657
2019,2,5,India,districts,thane,2118406
2019,2,6,India,districts,hyderabad,1856926
2019,2,7,India,districts,ahmadabad,1656341
2019,2,8,India,districts,rangareddy,1651300
2019,2,9,India,districts,medchal malkajgiri,1428880
2019,2,10,India,districts,surat,1338584
2019,2,1,India,pincodes,201301,336709
2019,2,2,India,pincodes,110059,274593
2019,2,3,India,pincodes,560068,263531
2019,2,4,India,pincodes,500072,242007
2019,2,5,India,pincodes,110092,228546
2019,2,6,India,pincodes,122001,217913
2019,2,7,India,pincodes,421302,182371
2019,2,8,India,pincodes,395006,180042
2019,2,9,India,pincodes,560078,178837
2019,2,10,India,pincodes,110086,177199
2019,3,1,India,state,maharashtra,21313081
2019,3,2,India,state,uttar pradesh,16044607
2019,3,3,India,state,karnataka,13635075
2019,3,4,India,state,andhra pradesh,10458693
2019,3,5,India,state,telangana,10090557
2019,3,6,India,state,rajasthan,9797304
2019,3,7,India,state,west bengal,9643222
2019,3,8,India,state,gujarat,8429299
2019,3,9,India,state,tamil nadu,8428835
2019,3,10,India,state,madhya pradesh,8180664
2019,3,1,India,districts,bengaluru urban,6383771
2019,3,2,India,districts,pune,4004991
2019,3,3,India,districts,jaipur,2520933
2019,3,4,India,districts,mumbai suburban,2407754
2019,3,5,India,districts,thane,2396815
2019,3,6,India,districts,hyderabad,2071673
2019,3,7,India,districts,ahmadabad,1848860
2019,3,8,India,districts,rangareddy,1826019
2019,3,9,India,districts,medchal malkajgiri,1572320
2019,3,10,India,districts,surat,1481391
2019,3,1,India,pincodes,201301,369425
2019,3,2,India,pincodes,110059,300007
2019,3,3,India,pincodes,560068,289417
2019,3,4,India,pincodes,500072,261019
2019,3,5,India,pincodes,110092,248727
2019,3,6,India,pincodes,122001,239679
2019,3,7,India,pincodes,421302,208109
2019,3,8,India,pincodes,395006,198132
2019,3,9,India,pincodes,110086,194575
2019,3,10,India,pincodes,800001,194197
2019,4,1,India,state,maharashtra,23745297
2019,4,2,India,state,uttar pradesh,17949542
2019,4,3,India,state,karnataka,15385416
2019,4,4,India,state,andhra pradesh,11757883
2019,4,5,India,state,telangana,11220691
2019,4,6,India,state,rajasthan,10925031
2019,4,7,India,state,west bengal,10885058
2019,4,8,India,state,tamil nadu,9620493
2019,4,9,India,state,gujarat,9323799
2019,4,10,India,state,madhya pradesh,9165241
2019,4,1,India,districts,bengaluru urban,7016836
2019,4,2,India,districts,pune,4416899
2019,4,3,India,districts,jaipur,2746860
2019,4,4,India,districts,thane,2638051
2019,4,5,India,districts,mumbai suburban,2630360
2019,4,6,India,districts,hyderabad,2283903
2019,4,7,India,districts,ahmadabad,2015947
2019,4,8,India,districts,rangareddy,2001437
2019,4,9,India,districts,medchal malkajgiri,1714832
2019,4,10,India,districts,north twenty four parganas,1638605
2019,4,1,India,pincodes,201301,398548
2019,4,2,India,pincodes,110059,320535
2019,4,3,India,pincodes,560068,313673
2019,4,4,India,pincodes,500072,279498
2019,4,5,India,pincodes,110092,264380
